RegionName,Time,Rent,Sales
"San Francisco, CA",2012-03,1700,508800
"San Francisco, CA",2012-04,1638,515300
"San Francisco, CA",2012-05,1687,521200
"San Francisco, CA",2012-06,1750,528600
"San Francisco, CA",2012-07,1718,538100
"San Francisco, CA",2012-08,1655,548500
"San Francisco, CA",2012-09,1650,559400
"San Francisco, CA",2012-10,1675,570100
"San Francisco, CA",2012-11,1695,578100
"San Francisco, CA",2012-12,1749,585700
"San Francisco, CA",2013-01,1695,595400
"San Francisco, CA",2013-02,1723.5,605200
"San Francisco, CA",2013-03,1795,612400
"San Francisco, CA",2013-04,1818,618800
"San Francisco, CA",2013-05,1850,627400
"San Francisco, CA",2013-06,1875,639600
"San Francisco, CA",2013-07,1850,652700
"San Francisco, CA",2013-08,1839,664100
"San Francisco, CA",2013-09,2095.5,673600
"San Francisco, CA",2013-10,2099,682000
"San Francisco, CA",2013-11,2000,689200
"San Francisco, CA",2013-12,2157,697900
"San Francisco, CA",2014-01,2186,708400
"San Francisco, CA",2014-02,2055,717800
"San Francisco, CA",2014-03,2001.5,728100
"San Francisco, CA",2014-04,2142,740200
"San Francisco, CA",2014-05,2368.5,748300
"San Francisco, CA",2014-06,2365,752100
"San Francisco, CA",2014-07,2250,753700
"San Francisco, CA",2014-08,2377.5,753100
"San Francisco, CA",2014-09,2450,752000
"San Francisco, CA",2014-10,2395,752700
"San Francisco, CA",2014-11,2395,754100
"San Francisco, CA",2014-12,2393.5,755100
"San Francisco, CA",2015-01,2431,756600
"San Francisco, CA",2015-02,2495,761000
"San Francisco, CA",2015-03,2518.5,770500
"San Francisco, CA",2015-04,2540,784700
"San Francisco, CA",2015-05,2525,799500
"San Francisco, CA",2015-06,2550,811000
"San Francisco, CA",2015-07,2550,821100
"San Francisco, CA",2015-08,2638,831600
"San Francisco, CA",2015-09,2614,837000
"Detroit, MI",2010-04,750,49200
"Detroit, MI",2010-05,750,46900
"Detroit, MI",2010-06,722.5,46800
"Detroit, MI",2010-07,675,47400
"Detroit, MI",2010-08,662.5,47000
"Detroit, MI",2010-09,600,45900
"Detroit, MI",2010-10,600,45200
"Detroit, MI",2010-11,612.5,45600
"Detroit, MI",2010-12,625,46800
"Detroit, MI",2011-01,625,47000
"Detroit, MI",2011-02,649,46200
"Detroit, MI",2011-03,650,46500
"Detroit, MI",2011-04,650,47200
"Detroit, MI",2011-05,695,47200
"Detroit, MI",2011-06,650,47700
"Detroit, MI",2011-07,650,48700
"Detroit, MI",2011-08,650,48500
"Detroit, MI",2011-09,644.5,47300
"Detroit, MI",2011-10,550,46400
"Detroit, MI",2011-11,555,45400
"Detroit, MI",2011-12,595,44500
"Detroit, MI",2012-01,645,43900
"Detroit, MI",2012-02,610,43300
"Detroit, MI",2012-03,620,42500
"Detroit, MI",2012-04,615,42100
"Detroit, MI",2012-05,615,42100
"Detroit, MI",2012-06,575,42200
"Detroit, MI",2012-07,580,41700
"Detroit, MI",2012-08,630,41300
"Detroit, MI",2012-09,635,41900
"Detroit, MI",2012-10,630,43800
"Detroit, MI",2012-11,625,46100
"Detroit, MI",2012-12,595,47800
"Detroit, MI",2013-01,575,48500
"Detroit, MI",2013-02,600,47700
"Detroit, MI",2013-03,635,46500
"Detroit, MI",2013-04,600,46800
"Detroit, MI",2013-05,605,48000
"Detroit, MI",2013-06,599,48000
"Detroit, MI",2013-07,599,48300
"Detroit, MI",2013-08,589,49500
"Detroit, MI",2013-09,650,50600
"Detroit, MI",2013-10,629.5,51300
"Detroit, MI",2013-11,640,51700
"Detroit, MI",2013-12,650,52100
"Detroit, MI",2014-01,675,52700
"Detroit, MI",2014-02,700,54500
"Detroit, MI",2014-03,700,54700
"Detroit, MI",2014-04,700,52800
"Detroit, MI",2014-05,695,49300
