,foodkey,business_id,category,description,name,photo_num,photo_url,prices,restaurant,review_num,review_url,src
203,2827,-6ncX3fnQ9OLCjfiUe-kFg,Appetizers,,Egg Roll,1,/menu/ollies-new-york/item/egg-roll,2.45,Ollie's,3,/menu/ollies-new-york/item/egg-roll#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/_jDUjTbvE6xr7BgWpoDUSA/180s.jpg
204,2836,-6ncX3fnQ9OLCjfiUe-kFg,Appetizers,,Scallion Pancake,1,/menu/ollies-new-york/item/scallion-pancake,4.75,Ollie's,7,/menu/ollies-new-york/item/scallion-pancake#menu-reviews,http://s3-media4.fl.yelpassets.com/bphoto/pcuiFULvWnYRtFcx510d7w/180s.jpg
205,2875,-6ncX3fnQ9OLCjfiUe-kFg,Chicken,,Fried General Tso's Chicken,1,/menu/ollies-new-york/item/fried-general-tsos-chicken,11.25,Ollie's,7,/menu/ollies-new-york/item/fried-general-tsos-chicken#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/N5TOjduks7dd_1d-r68bhQ/180s.jpg
206,2931,-6ncX3fnQ9OLCjfiUe-kFg,Sizzling Platters,"sliced beef sauteed w. baby corn, snow peas, strawmushroom, carrots, onion, basil in garlic oyster sauce",Beef,7,/menu/ollies-new-york/item/beef,12.75,Ollie's,35,/menu/ollies-new-york/item/beef#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/BwAbHAP9CROF90Hou-kC-g/180s.jpg
207,2932,-6ncX3fnQ9OLCjfiUe-kFg,Sizzling Platters,"chicken sauteed w. baby corn, snow peas strawmushroom, carrots, onion, basil in garlic, oyster sauce",Chicken,7,/menu/ollies-new-york/item/chicken,11.95,Ollie's,36,/menu/ollies-new-york/item/chicken#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/R099LgTv5bn62HPZfHMoQw/180s.jpg
208,2933,-6ncX3fnQ9OLCjfiUe-kFg,Sizzling Platters,"jumbo shrimp sauteed, same veg",Shrimp,5,/menu/ollies-new-york/item/shrimp,15.45,Ollie's,19,/menu/ollies-new-york/item/shrimp#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/GZcgSuwFsD84tLVfXZvw0g/180s.jpg
209,2935,-6ncX3fnQ9OLCjfiUe-kFg,Sizzling Platters,"squid, scallops, shrimp, crabmeat & vegetable in brown sauce",Seafood,1,/menu/ollies-new-york/item/seafood,15.65,Ollie's,3,/menu/ollies-new-york/item/seafood#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/zx4UilaA1Bx9TyNkBJe0PQ/180s.jpg
210,2953,-6ncX3fnQ9OLCjfiUe-kFg,Roast Meats,,Roast Duck,1,/menu/ollies-new-york/item/roast-duck,"[Whole: 22.50, Half: 22.50, Qt.: 22.50]",Ollie's,4,/menu/ollies-new-york/item/roast-duck#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/734x3-yzYLpFqAzEzbrIoQ/180s.jpg
211,2959,-6ncX3fnQ9OLCjfiUe-kFg,Noodle Or Fried Rice,"choice of chicken, roast pork, beef, veggies or shrimp",Lo Mein,1,/menu/ollies-new-york/item/lo-mein,8.25,Ollie's,8,/menu/ollies-new-york/item/lo-mein#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/HlQbjCgOrDq1NYvLG846bg/180s.jpg
212,2963,-6ncX3fnQ9OLCjfiUe-kFg,Noodle Or Fried Rice,"choice of chicken, roast pork, veggies or shrimp",Chow Fun,1,/menu/ollies-new-york/item/chow-fun,8.25,Ollie's,5,/menu/ollies-new-york/item/chow-fun#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/6aUtUNqYU0iZW_IvTFrl9w/180s.jpg
